radius,robots,seed,success,collision_events,collision_episode,min_separation,path_length,final_error,average_degree
2.0,5,10,0,2,1,0.2231249249306897,35.321435480634825,0.7662600996700926,0.10124481478667358
2.0,5,11,0,2,1,0.022027804623118527,39.64984459242843,0.8553198197023988,0.08796680629006065
2.0,5,12,0,2,1,0.10933406052658044,41.438513177324545,0.7543032557491083,0.08298755310383081
2.0,5,13,0,1,1,0.38844593908150854,45.76751965228243,0.8185637530289661,0.12282157859366959
2.0,5,14,0,2,1,0.15094560879707536,35.079808752593344,0.861636473080592,0.08630705522798404
2.0,10,10,0,6,1,0.08689914982312663,73.53278059352498,0.8202435377765962,0.4514522848658542
2.0,10,11,0,4,1,0.2349231165667815,84.23117234044177,0.7187875078637334,0.342738592587566
2.0,10,12,0,4,1,0.03718647064722223,88.10983702993194,0.7244619102178016,0.4887966867922747
2.0,10,13,0,4,1,0.00567328814847874,86.10223849566518,0.7222123145427284,0.3468879693771299
2.0,10,14,0,4,1,0.12947667059368043,76.88266891955843,0.7105854973494713,0.565975113528398
2.0,20,10,1,22,1,0.02280339590466629,229.0126270955097,0.4286434634681804,2.529460560236729
2.0,20,11,1,19,1,0.03603450236169903,269.8827153801348,0.36715538178876655,2.3008298537543204
2.0,20,12,1,30,1,0.10504848246928664,226.03421446448564,0.42483070580918236,2.4514522789919524
2.0,20,13,1,24,1,0.02427566025610588,224.39422858881048,0.4963949651524655,2.475518655480191
2.0,20,14,1,31,1,0.015266612031982032,226.32736459640066,0.41704757293572703,2.6078837926951683
3.4,5,10,0,2,1,0.1521809834064545,35.66236903874571,0.7812819594143156,0.24730290973334887
3.4,5,11,0,2,1,0.09217286294171946,39.38237813414256,0.8529821778358802,0.16265560408350838
3.4,5,12,0,2,1,0.016781803554344183,42.90138132231158,0.7465902544202252,0.24730291109362085
3.4,5,13,0,2,1,0.07078895159816628,42.98370371664064,0.6526175341347811,0.3302904638264684
3.4,5,14,0,2,1,0.07034354596701474,37.02864603121259,0.8739960615046337,0.2721991770247701
3.4,10,10,1,6,1,0.10127916591639745,127.57047966409958,0.3059102306021568,2.3319501960920594
3.4,10,11,1,4,1,0.03449058637126876,140.84001911832306,0.34523863941595734,2.141078817399211
3.4,10,12,1,5,1,0.06936686594392544,140.7023578091609,0.19780693077431166,2.210788389953835
3.4,10,13,1,5,1,0.060283690169284344,126.38317652775301,0.23988151050091794,2.367634847451048
3.4,10,14,1,5,1,0.013684642053904907,128.62668066643198,0.3229867248471908,2.3609958347937874
3.4,20,10,1,30,1,0.047847516613803515,238.40321706191472,0.3754944524366714,5.259751070584499
3.4,20,11,1,20,1,0.003249203722015525,251.8402048586949,0.35607800729120337,5.067219934028214
3.4,20,12,0,35,1,0.05127682658273676,229.67268595724659,0.709051831259681,5.139419107516277
3.4,20,13,1,29,1,0.10020864117717504,235.26609859880858,0.45140363295201985,5.173029035948124
3.4,20,14,1,23,1,0.023192741874202016,224.6653275247778,0.4003999816075049,5.302489654651816
5.5,5,10,1,1,1,0.15427948384335452,56.60262361281287,0.3763375350015554,1.862240699811595
5.5,5,11,1,2,1,0.1098678817076079,64.20733649844249,0.2585937815890013,1.4456431865692139
5.5,5,12,1,2,1,0.2392619943903783,59.140963260956724,0.49063418530370945,1.6116182903036538
5.5,5,13,0,2,1,0.49172266469327375,40.32015311198258,0.9484885776871799,2.2639004323492404
5.5,5,14,0,1,1,0.23102079533597164,41.943276438638954,0.6909832314659712,1.9419087394144525
5.5,10,10,1,5,1,0.03319811195104805,98.75291772240827,0.43482551578718037,4.318672197982978
5.5,10,11,1,4,1,0.10987085711864052,101.45955565478569,0.4119595992501888,4.301244789139364
5.5,10,12,1,5,1,0.12861772976665853,130.9182882402213,0.47056858995360057,4.3759336145092345
5.5,10,13,1,5,1,0.14232671610475067,122.3778912810241,0.5222858281616265,4.141078827292098
5.5,10,14,1,9,1,0.16008259816535517,105.15939814762154,0.3800070090968054,4.937759291581593
5.5,20,10,1,29,1,0.10232277474844327,203.0161094546305,0.4179786052368632,9.737344415356015
5.5,20,11,1,23,1,0.06914996104881681,243.18388003591153,0.34592196702706485,9.485062254909657
5.5,20,12,1,31,1,0.05769470538028351,247.96484037307334,0.4376259456027013,10.19377592292564
5.5,20,13,1,24,1,0.018314059102106008,233.4498624474877,0.4186242897012004,9.353112028842151
5.5,20,14,1,34,1,0.02091895806875363,224.41813708735017,0.3538860401608491,10.030290425565727
99.0,5,10,1,1,1,0.07234009869732559,51.79818255264872,0.3020721524271369,4.0
99.0,5,11,1,2,1,0.04407291226316007,59.029159122051325,0.46436059575700106,4.0
99.0,5,12,1,2,1,0.0585002918454063,48.04403267497664,0.5671331940039934,4.0
99.0,5,13,1,2,1,0.05270227514665511,54.04221857309106,0.20889388162166403,4.0
99.0,5,14,1,2,1,0.09215172346311144,47.23365921930991,0.5679207424190582,4.0
99.0,10,10,1,4,1,0.18272976742926103,90.2781454438046,0.492961923221458,9.0
99.0,10,11,1,4,1,0.12359726712335688,124.0417393598675,0.48186039892556176,9.0
99.0,10,12,1,5,1,0.19095466936675184,136.01721635811262,0.5255519237673698,9.0
99.0,10,13,1,5,1,0.23658290469663454,119.72573459103666,0.32222343763261424,9.0
99.0,10,14,0,7,1,0.1174967491935439,102.41075675916143,0.8478551017723754,9.0
99.0,20,10,1,29,1,0.0405969895104843,210.4469265742734,0.4273109651155294,19.0
