method,safety,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
gnn,0,5,10,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156
gnn,1,5,10,0,0,0,0,0.8987174036328788,36.45784530899166,240,0.7671807950305286
gnn,0,5,11,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802
gnn,1,5,11,0,0,0,0,0.9452360952013112,40.26509947409968,240,0.8311068668620576
gnn,0,5,12,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252
gnn,1,5,12,0,0,0,0,0.9645235207014353,40.48766103997432,240,0.8114385363848635
gnn,0,10,10,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568
gnn,1,10,10,1,0,0,0,0.8326061303809185,106.99095266973319,240,0.3068370102776802
gnn,0,10,11,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734
gnn,1,10,11,1,0,0,0,0.9124213857793245,135.53437094203468,240,0.368012281000884
gnn,0,10,12,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166
gnn,1,10,12,1,0,0,0,0.9242865333448055,132.09277827198767,240,0.20839179344504907
gnn,0,20,10,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714
gnn,1,20,10,1,296,8,1,0.002292979493211742,184.4361604530994,240,0.32932609931483486
gnn,0,20,11,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337
gnn,1,20,11,1,197,9,1,0.007905216740231119,232.8604518121607,240,0.31643026832557974
gnn,0,20,12,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681
gnn,1,20,12,0,246,7,1,0.0046271946607649534,203.57462133197473,240,0.8109233664695822
