method,safety,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
gnn,0,5,10,0,0,1,1,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156,1.102197472937405
gnn,1,5,10,0,0,0,0,0,0,0,0.8987174036328788,36.45784530899166,240,0.7671807950305286,0.7417162666873386
gnn,0,5,11,0,0,2,1,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802,0.7413889126231273
gnn,1,5,11,0,0,0,0,0,0,0,0.9452360952013112,40.26509947409968,240,0.8311068668620576,0.7362780452240258
gnn,0,5,12,0,0,2,1,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252,0.7371121532438943
gnn,1,5,12,0,0,0,0,0,0,0,0.9645235207014353,40.48766103997432,240,0.8114385363848635,0.7413092476781458
gnn,0,5,13,0,0,2,1,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811,0.7369735355799397
gnn,1,5,13,1,1,0,0,0,0,0,0.9217329467329262,42.990896876041084,240,0.621500138755423,0.7492254643390576
gnn,0,5,14,0,0,2,1,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337,0.76286251617906
gnn,1,5,14,0,0,0,0,0,0,0,0.9149757352810983,36.980117496020874,240,0.7759828238351952,0.7486317326159527
gnn,0,5,15,0,0,1,1,7,1,1,0.19266690506451892,42.03188198494142,240,0.7445685095617016,0.746306167760243
gnn,1,5,15,0,0,0,0,0,0,0,0.9729742122929378,42.70556896140488,240,0.729704175133531,0.7374653631510834
gnn,0,5,16,1,0,2,1,21,2,1,0.05268537332101382,30.18960201201857,240,0.6069692241424527,0.7845123705919832
gnn,1,5,16,1,1,0,0,0,0,0,0.9419862242692515,32.431039689957366,240,0.5921792862847948,0.7676231092773378
gnn,0,5,17,0,0,2,1,20,2,1,0.03690585141702652,40.28415818833862,240,0.8905437935916947,0.7368164719082415
gnn,1,5,17,0,0,0,0,0,0,0,0.897906416378995,41.23167439448517,240,0.8364208951494645,0.739153854859372
gnn,0,5,18,1,0,1,1,7,1,1,0.31158113058263154,39.18698793316121,240,0.6433491104754326,0.7594555247730265
gnn,1,5,18,1,1,0,0,0,0,0,1.0141826017008757,39.41657599094126,240,0.6443456036581197,0.7513522054068744
gnn,0,5,19,0,0,1,1,8,1,1,0.3276341314265508,36.59171242245946,240,0.7665289957194797,0.7600347492067764
gnn,1,5,19,0,0,0,0,0,0,0,0.9279975204767223,36.99840670132351,240,0.7720393290721494,0.7895923122608414
gnn,0,10,10,1,0,5,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568,1.0131195265178878
gnn,1,10,10,1,1,0,0,0,0,0,0.8326061303809185,106.99095266973319,240,0.3068370102776802,1.0325377224944532
gnn,0,10,11,1,0,3,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734,1.0218797891866416
gnn,1,10,11,1,1,0,0,0,0,0,0.9124213857793245,135.53437094203468,240,0.368012281000884,0.9631420931934068
gnn,0,10,12,1,0,4,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166,0.9555446682497859
gnn,1,10,12,1,1,0,0,0,0,0,0.9242865333448055,132.09277827198767,240,0.20839179344504907,0.9656401816755533
gnn,0,10,13,1,0,4,1,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794,0.9859319504660865
gnn,1,10,13,1,0,1,1,32,1,1,0.3350669541327797,114.73537852862349,240,0.4592570005572193,0.9698291522605965
gnn,0,10,14,1,0,5,1,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908,0.9831081222121915
gnn,1,10,14,1,1,0,0,0,0,0,0.8602576499704297,106.3790153623871,240,0.5336914359831464,0.9856209779779116
gnn,0,10,15,1,0,5,1,54,5,1,0.09808526817662182,130.33594661525433,240,0.3211688458179887,0.9743270134398093
gnn,1,10,15,1,1,0,0,0,0,0,0.7866085827760274,128.59158808406977,240,0.2763343275329175,0.9826081591503074
gnn,0,10,16,1,0,5,1,78,5,1,0.03217050254740779,143.95826466138476,240,0.5093028955176444,0.9682552656158805
gnn,1,10,16,0,0,0,0,0,0,0,0.9098649825048695,123.72999375301417,240,0.7737849254999263,0.975885457592085
gnn,0,10,17,1,0,5,1,62,5,1,0.03109435040880711,121.54414445077329,240,0.36200797627803655,0.9676602300411711
gnn,1,10,17,1,1,0,0,16,1,1,0.5665276954252296,111.01789145875625,240,0.4024379829559542,0.9666809967408577
gnn,0,10,18,1,0,3,1,32,4,1,0.04677619275511236,128.93599869937745,240,0.419896305430531,0.9559038017566005
gnn,1,10,18,1,1,0,0,0,0,0,0.9136821834189489,121.99070101762548,240,0.4704758125049648,0.9865474712569267
gnn,0,10,19,1,0,4,1,53,5,1,0.20751710008429422,123.46366073598848,240,0.4504900111865216,0.9742306118520597
gnn,1,10,19,1,1,0,0,0,0,0,0.9027384336191682,103.83257084825806,240,0.4615124394478555,0.9838396916165948
gnn,0,20,10,1,0,18,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714,1.439803223668908
gnn,1,20,10,1,0,4,1,296,8,1,0.002292979493211742,184.4361604530994,240,0.32932609931483486,1.4559059171006083
gnn,0,20,11,1,0,15,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337,1.447553897742182
gnn,1,20,11,1,0,4,1,197,9,1,0.007905216740231119,232.8604518121607,240,0.31643026832557974,1.4561160875018686
gnn,0,20,12,0,0,23,1,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681,1.4172418780314426
gnn,1,20,12,0,0,12,1,246,7,1,0.0046271946607649534,203.57462133197473,240,0.8109233664695822,1.4960844865224014
gnn,0,20,13,1,0,19,1,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985,1.4102393412031233
gnn,1,20,13,0,0,3,1,154,6,1,0.005945784353138239,199.38045818086857,240,0.7200447371586912,1.4152525613705318
gnn,0,20,14,1,0,18,1,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049,1.4131222482925903
gnn,1,20,14,0,0,2,1,133,5,1,0.009141861894163864,177.75093915358963,240,0.6812656790650207,1.4428806685221691
gnn,0,20,15,1,0,17,1,321,30,1,0.01764482995299798,249.2537028833371,240,0.40041598630719155,1.4465251433042188
gnn,1,20,15,1,0,2,1,131,10,1,0.06565161460611482,187.2515866705511,240,0.5566099263285933,1.4442177159556497
gnn,0,20,16,1,0,12,1,256,26,1,0.049920740445050384,273.70502574498056,240,0.32944501702740514,1.413094490999356
gnn,1,20,16,1,0,3,1,271,5,1,0.008687362177522721,193.48738433357977,240,0.6249795936445984,1.4078386690622817
gnn,0,20,17,1,0,22,1,593,22,1,0.021904716822676765,226.7856560870858,240,0.47022691681014467,1.4164730130384366
gnn,1,20,17,1,0,5,1,258,6,1,0.008518281486952002,190.34053834586055,240,0.4710507067280762,1.4445308363065124
gnn,0,20,18,1,0,18,1,565,33,1,0.014726830250250225,229.86600204721387,240,0.3822941124693649,1.409759601422896
gnn,1,20,18,1,0,2,1,70,5,1,0.3978914654385538,211.9924759857719,240,0.3933326567425907,1.4261880326860894
gnn,0,20,19,1,0,18,1,533,27,1,0.027825253429061714,236.6464069757358,240,0.3800852695784965,1.4216499752365053
gnn,1,20,19,1,0,1,1,143,8,1,0.15932993683729238,200.51098489344656,240,0.4067352829447288,1.4239680216026802
