method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
orca,5,10,1,3,1,1,0.7042649030379938,83.198581910471,240,0.11708993113621954
astar,5,10,1,6,1,1,0.07819731434808391,35.3919988255199,79,0.12523882769511469
mlp,5,10,1,22,2,1,0.30381730466283274,44.26703721338616,240,0.45681054948102073
gnn,5,10,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156
orca,5,11,1,17,2,1,0.4801185479887942,30.21400119594552,93,0.1284158058756153
astar,5,11,1,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841
mlp,5,11,0,18,2,1,0.17999944926900388,27.28154118638566,240,0.8187695018659008
gnn,5,11,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802
orca,5,12,1,11,1,1,0.49038817568903037,34.31893820906171,109,0.15803450675874645
astar,5,12,1,13,2,1,0.16500141981799016,36.73599866977638,82,0.11466536103320339
mlp,5,12,1,18,2,1,0.29818539336263084,33.040163311751044,240,0.49944284092330726
gnn,5,12,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252
orca,10,10,1,24,4,1,0.39957295353796235,169.21241960361212,240,0.12664849375971143
astar,10,10,1,36,5,1,0.010216054115451637,90.71999550289624,81,0.08389117033458879
mlp,10,10,1,102,5,1,0.01869637765511951,72.83973802654353,240,0.4808014586872593
gnn,10,10,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568
orca,10,11,1,54,4,1,0.11957424256711578,100.17437030067127,131,0.08329048624705045
astar,10,11,1,25,4,1,0.038942944387287036,88.47999764094094,79,0.08624930590780219
mlp,10,11,1,80,4,1,0.02709052657523418,58.367198607345806,240,0.649229350560639
gnn,10,11,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734
orca,10,12,1,19,3,1,0.46812784429791254,154.76269679215775,240,0.6173214827519589
astar,10,12,1,32,5,1,0.040011681453832625,104.15999658195305,93,0.11084229029266879
mlp,10,12,1,75,5,1,0.06023741650524924,76.37652228560339,240,0.6057234282070025
gnn,10,12,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166
orca,20,10,1,146,15,1,0.2732303921931682,366.5251174529309,240,0.07399068493627324
astar,20,10,1,142,21,1,0.054963885481607515,194.879993121567,87,0.07909428018221712
mlp,20,10,1,933,25,1,0.03726734833862513,130.248832544298,240,0.5838951315354802
gnn,20,10,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714
orca,20,11,1,100,13,1,0.21584961479405335,244.83478553914244,156,0.06273923626955548
astar,20,11,1,155,20,1,0.01327117695361482,181.43999498568084,81,0.10002419808584764
mlp,20,11,1,479,18,1,0.017614389147070787,133.29535402358505,240,0.589404668306359
gnn,20,11,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337
orca,20,12,0,115,11,1,0.15179042056037564,315.5933814406075,240,0.6978833439677425
astar,20,12,1,362,34,1,0.02242180705071617,219.519993188026,98,0.07966986263329887
mlp,20,12,1,848,29,1,0.1264162813707114,150.47294738981657,240,0.6312317127996866
gnn,20,12,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681
