layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,orca,5,10,1,3,1,1,0.7042649030379938,83.198581910471,240,0.11708993113621954,0.3044195706024766
crossing,rvo,5,10,1,14,2,1,0.06532137674859803,30.267997846457156,82,0.07979768515983957,8.574392328538545
crossing,astar,5,10,1,6,1,1,0.07819731434808391,35.3919988255199,79,0.12523882769511469,1.7134816197183314
crossing,mlp,5,10,1,22,2,1,0.30381730466283274,44.26703721338616,240,0.45681054948102073,0.6896511438147476
crossing,gnn,5,10,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156,0.8574338940282663
crossing,orca,5,11,1,17,2,1,0.4801185479887942,30.21400119594552,93,0.1284158058756153,0.2961195454562223
crossing,rvo,5,11,1,12,2,1,0.153165960422175,24.86399821487895,69,0.1218456439212064,8.625875260896873
crossing,astar,5,11,1,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841,0.4450990683466628
crossing,mlp,5,11,0,18,2,1,0.17999944926900388,27.28154118638566,240,0.8187695018659008,0.42647211424385506
crossing,gnn,5,11,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802,0.7578447616348664
crossing,orca,5,12,1,11,1,1,0.49038817568903037,34.31893820906171,109,0.15803450675874645,0.29653022407528457
crossing,rvo,5,12,1,4,1,1,0.5738771371173422,30.855997618927887,80,0.1402719456731943,8.688307425472885
crossing,astar,5,12,1,13,2,1,0.16500141981799016,36.73599866977638,82,0.11466536103320339,1.8114887189301776
crossing,mlp,5,12,1,18,2,1,0.29818539336263084,33.040163311751044,240,0.49944284092330726,0.42692645414111513
crossing,gnn,5,12,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252,0.7708727440331131
crossing,orca,5,13,0,8,1,1,0.5394978597068073,75.52585270527085,240,1.1801908503037781,0.2980873784205566
crossing,rvo,5,13,1,10,2,1,0.3432669712136453,37.71599843511627,95,0.08627898220575628,8.673113231596194
crossing,astar,5,13,1,12,2,1,0.06870826541325886,40.76799842539865,91,0.12862240762085841,0.39531606259745555
crossing,mlp,5,13,0,29,2,1,0.07886706833374989,34.341614427147825,240,0.678655321101177,0.432392106934761
crossing,gnn,5,13,0,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811,0.7853033331533273
crossing,orca,5,14,0,0,0,0,1.0361917922629575,60.80757995597638,240,1.1357521184515713,0.3034075547475368
crossing,rvo,5,14,1,11,2,1,0.20860983978264888,35.67199858568587,91,0.08596090921902663,8.669431940498916
crossing,astar,5,14,1,12,2,1,0.04286790083181922,39.42399869892064,88,0.10157248889305473,0.46077675969255244
crossing,mlp,5,14,0,25,2,1,0.30760456707579137,30.977075358479446,240,0.7190151642874867,0.4328003929307063
crossing,gnn,5,14,0,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337,0.784476927947253
crossing,orca,5,15,1,29,1,1,0.0660112076609494,33.9859869863375,110,0.1031076598331591,0.2950690348039974
crossing,rvo,5,15,1,11,2,1,0.3659114170511059,26.711998187672457,80,0.06782583937369455,8.649111643899232
crossing,astar,5,15,1,10,2,1,0.2899068108950289,32.70399911830748,73,0.11148290287961511,2.0936568242127764
crossing,mlp,5,15,0,22,2,1,0.10950091281008187,41.59938122601446,240,0.6560998015502206,0.42285463617493707
crossing,gnn,5,15,0,7,1,1,0.19266690506451892,42.03188198494142,240,0.7445685095617016,0.7713147186829398
crossing,orca,5,16,1,28,2,1,0.23151705607709144,38.53513620384769,95,0.10845186119693848,0.29848776267547356
crossing,rvo,5,16,1,9,2,1,0.3655358400026137,23.63199814281623,73,0.05716065518079387,8.622174718965814
