layout,method,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,mlp,5,10,1,0,2,1,22,2,1,0.30381730466283274,44.26703721338616,240,0.45681054948102073,0.6805054727010429
crossing,gnn,5,10,0,0,1,1,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156,0.8632538568538924
crossing,attention,5,10,1,0,1,1,7,1,1,0.19210776301054633,36.89286341144092,240,0.44429549849839,1.7202206479851156
crossing,transformer,5,10,1,1,0,0,0,0,0,0.7259126375017454,41.29099074257338,240,0.4762182012641393,1.2635889385516446
crossing,mlp,5,11,0,0,2,1,18,2,1,0.17999944926900388,27.28154118638566,240,0.8187695018659008,0.4122785389578591
crossing,gnn,5,11,0,0,2,1,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802,0.7449018497330447
crossing,attention,5,11,1,0,1,1,6,1,1,0.3435100696318001,31.09934229222557,240,0.43515670092890735,1.177669068177541
crossing,transformer,5,11,1,0,1,1,13,2,1,0.13038450369074753,52.76406235690265,240,0.48801669732667763,1.2556937969444941
crossing,mlp,5,12,1,0,2,1,18,2,1,0.29818539336263084,33.040163311751044,240,0.49944284092330726,0.42256003556152183
crossing,gnn,5,12,0,0,2,1,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252,0.7540768594481051
crossing,attention,5,12,0,0,0,0,0,0,0,1.0043197160083208,44.52675540916194,240,0.8686781303252671,1.1705998273100704
crossing,transformer,5,12,1,0,1,1,9,1,1,0.0964640219596319,49.95479409875944,240,0.5922716976682978,1.2797074140204738
crossing,mlp,5,13,0,0,2,1,29,2,1,0.07886706833374989,34.341614427147825,240,0.678655321101177,0.4185666873430212
crossing,gnn,5,13,0,0,2,1,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811,0.7933912798762321
crossing,attention,5,13,0,0,0,0,0,0,0,0.7652174503762668,32.16098205078325,240,2.91228557174204,1.2013219665580739
crossing,transformer,5,13,1,1,0,0,0,0,0,1.8571783695099657,46.95460903649875,240,0.6279356054596045,1.227008776428799
crossing,mlp,5,14,0,0,1,1,25,2,1,0.30760456707579137,30.977075358479446,240,0.7190151642874867,0.418501525806884
crossing,gnn,5,14,0,0,2,1,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337,0.7668134310127547
crossing,attention,5,14,0,0,0,0,0,0,0,0.9468303494831165,29.026452681242546,240,3.1838349884437473,1.1697601119522005
crossing,transformer,5,14,0,0,0,0,4,1,1,0.6743352378415034,43.89297525045719,240,0.772678796367422,1.2283044517971575
crossing,mlp,5,15,0,0,2,1,22,2,1,0.10950091281008187,41.59938122601446,240,0.6560998015502206,0.40774673301105696
crossing,gnn,5,15,0,0,1,1,7,1,1,0.19266690506451892,42.03188198494142,240,0.7445685095617016,0.7496255546963463
crossing,attention,5,15,1,1,0,0,5,2,1,0.66222794382559,35.300394862528805,240,0.6054856812894525,1.1919655934131395
crossing,transformer,5,15,1,0,1,1,6,1,1,0.39451118486633346,28.94957615125768,240,0.39504938136861656,1.2769071365861844
crossing,mlp,5,16,1,0,1,1,18,2,1,0.4617931955251237,39.41860973168666,240,0.39990191052679697,0.42602290826228756
crossing,gnn,5,16,1,0,2,1,21,2,1,0.05268537332101382,30.18960201201857,240,0.6069692241424527,0.7503839229078343
crossing,attention,5,16,1,0,1,1,5,1,1,0.3741568641776568,29.888217274920713,240,0.6223501767924847,1.1873125447891653
crossing,transformer,5,16,1,0,2,1,17,2,1,0.07467011557615387,41.72741275829086,240,0.4079041031922979,1.2525975296739489
crossing,mlp,5,17,0,0,2,1,39,2,1,0.03725679006992608,29.243388316542532,240,1.027098043485203,0.4167937149759382
crossing,gnn,5,17,0,0,2,1,20,2,1,0.03690585141702652,40.28415818833862,240,0.8905437935916947,0.76192402242062
crossing,attention,5,17,0,0,0,0,0,0,0,1.0558366551065528,27.502482213719723,240,3.2289625000646858,1.1771489031768094
crossing,transformer,5,17,1,1,0,0,0,0,0,1.2972021446066873,42.83389562346567,240,0.6232966030551567,1.2321751351313044
crossing,mlp,5,18,1,0,2,1,19,2,1,0.011861181424672728,32.785557130965216,240,0.5518571499708065,0.41118225975272554
crossing,gnn,5,18,1,0,1,1,7,1,1,0.31158113058263154,39.18698793316121,240,0.6433491104754326,0.738907401682809
crossing,attention,5,18,0,0,0,0,0,0,0,1.0882422182916676,46.05156946132142,240,0.745239026862006,1.1726903864958633
crossing,transformer,5,18,1,0,2,1,15,2,1,0.1131291629861637,47.165060915936316,240,0.47974187403936447,1.2297313408150028
crossing,mlp,5,19,1,0,2,1,20,2,1,0.2349868804655133,30.831452193743957,240,0.433894269810169,0.4107821752162029
crossing,gnn,5,19,0,0,1,1,8,1,1,0.3276341314265508,36.59171242245946,240,0.7665289957194797,0.7444635169425359
crossing,attention,5,19,0,0,0,0,5,1,1,0.6255084643096646,48.36141771115125,240,1.2495821095834359,1.166680237899224
crossing,transformer,5,19,0,0,1,1,8,1,1,0.06746127385989427,45.641068164925244,240,0.6969555967528762,1.227289077360183
crossing,mlp,10,10,1,0,5,1,102,5,1,0.01869637765511951,72.83973802654353,240,0.4808014586872593,0.6350864093595495
crossing,gnn,10,10,1,0,5,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568,0.977688179894661
crossing,attention,10,10,1,0,2,1,15,2,1,0.18111130776360898,102.17370747251806,240,0.5927639482286157,1.414182351436466
crossing,transformer,10,10,1,0,3,1,25,3,1,0.0763888129455995,125.22274558319604,240,0.44187781616470606,1.49087766961505
crossing,mlp,10,11,1,0,4,1,80,4,1,0.02709052657523418,58.367198607345806,240,0.649229350560639,0.6420602653330812
crossing,gnn,10,11,1,0,3,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734,0.9803163023510327
crossing,attention,10,11,1,0,4,1,118,4,1,0.028221108277089756,91.691329267169,240,0.5008542049625866,1.4172760187648237
crossing,transformer,10,11,1,0,3,1,28,3,1,0.0828628140922984,132.33021304421075,240,0.4242682623853356,1.486028639677291
crossing,mlp,10,12,1,0,4,1,75,5,1,0.06023741650524924,76.37652228560339,240,0.6057234282070025,0.666907315220063
crossing,gnn,10,12,1,0,4,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166,0.9733424327957133
crossing,attention,10,12,0,0,4,1,42,5,1,0.23235014062361176,77.7283630292988,240,1.2344582913907995,1.4115131479532768
crossing,transformer,10,12,1,0,2,1,12,2,1,0.37019911920052445,116.36447444516229,240,0.4470054671651118,1.4658894389867783
crossing,mlp,10,13,1,0,4,1,70,5,1,0.05791323939341617,78.88093919121631,240,0.4048898221726147,0.633059568159903
crossing,gnn,10,13,1,0,4,1,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794,0.9636120172217488
crossing,attention,10,13,1,0,2,1,18,3,1,0.44765858767506456,86.1558401922568,240,0.6329184030031155,1.4085746312048286
crossing,transformer,10,13,1,0,2,1,42,3,1,0.044534627039779257,107.21327586014583,240,0.41236188458260925,1.4866897933340322
crossing,mlp,10,14,0,0,5,1,204,7,1,0.02891520326465536,68.10395812594182,240,0.824762977348097,0.6532293259321401
crossing,gnn,10,14,1,0,5,1,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908,0.977373270628353
crossing,attention,10,14,0,0,2,1,32,3,1,0.08007565990910341,88.29642657519032,240,0.7669252063723817,1.4283554958334814
crossing,transformer,10,14,0,0,4,1,42,4,1,0.2458732314119892,99.08545192318765,240,0.7708855025494274,1.4833490209033091
crossing,mlp,10,15,1,0,4,1,86,4,1,0.05386478608090819,69.04828879349061,240,0.6031933266160598,0.6428424443583935
crossing,gnn,10,15,1,0,5,1,54,5,1,0.09808526817662182,130.33594661525433,240,0.3211688458179887,0.9802992591479173
crossing,attention,10,15,1,0,3,1,24,3,1,0.20513315352560643,125.56672011238872,240,0.5429656695177772,1.4373448832581441
crossing,transformer,10,15,1,0,5,1,42,5,1,0.06159334304569881,128.03490354089539,240,0.4873542895766059,1.4779043636129547
crossing,mlp,10,16,1,0,4,1,89,5,1,0.073992399605668,59.15340488457892,240,0.5031923078259342,0.6422896753065288
crossing,gnn,10,16,1,0,5,1,78,5,1,0.03217050254740779,143.95826466138476,240,0.5093028955176444,0.9969624768321713
crossing,attention,10,16,1,0,4,1,55,4,1,0.08228531845462086,100.78345482368712,240,0.585933456054074,1.4083474001381546
crossing,transformer,10,16,1,0,4,1,62,4,1,0.0333355602814631,111.49446665159888,240,0.42616395345487457,1.4551989443134516
crossing,mlp,10,17,1,0,5,1,93,7,1,0.035571314820720026,71.923198872218,240,0.46622956517990594,0.6424365739803761
crossing,gnn,10,17,1,0,5,1,62,5,1,0.03109435040880711,121.54414445077329,240,0.36200797627803655,0.9655217232648283
crossing,attention,10,17,1,0,4,1,46,5,1,0.1466933671375485,97.85281211174545,240,0.5596687895135061,1.403514468499149
crossing,transformer,10,17,1,0,7,1,108,9,1,0.05149889231759085,116.63280315718313,240,0.35809922528056665,1.4663991595928867
crossing,mlp,10,18,1,0,5,1,96,5,1,0.1363858812616649,65.39967876599398,240,0.6061029019704771,0.6470775600367537
crossing,gnn,10,18,1,0,3,1,32,4,1,0.04677619275511236,128.93599869937745,240,0.419896305430531,0.9780598901367435
crossing,attention,10,18,1,0,1,1,26,3,1,0.045219732072851265,95.49812543845336,240,0.596857493851374,1.4164050478332986
crossing,transformer,10,18,1,0,5,1,56,5,1,0.060236728069914945,93.49209249768637,240,0.5024675674079271,1.4609494673398633
crossing,mlp,10,19,1,0,5,1,112,5,1,0.10354412166756348,59.520741149782204,240,0.6399717361175218,0.6514397003532698
crossing,gnn,10,19,1,0,4,1,53,5,1,0.20751710008429422,123.46366073598848,240,0.4504900111865216,0.9637114844129732
crossing,attention,10,19,1,0,3,1,34,3,1,0.3340921066235392,93.51350193420971,240,0.5031900007939313,1.4000087161548436
crossing,transformer,10,19,1,0,4,1,41,4,1,0.09939670530742684,126.11561122698583,240,0.4264685072147526,1.4549181524974604
crossing,mlp,20,10,1,0,32,1,933,25,1,0.03726734833862513,130.248832544298,240,0.5838951315354802,1.1114783856707315
crossing,gnn,20,10,1,0,18,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714,1.4283070728803675
crossing,attention,20,10,1,0,22,1,524,27,1,0.053606470992410664,229.0700126923623,240,0.45650102149055555,1.8755823373794556
crossing,transformer,20,10,1,0,20,1,300,25,1,0.03267670225019394,240.86882398593454,240,0.40212862079503287,1.9467348038839798
crossing,mlp,20,11,1,0,16,1,479,18,1,0.017614389147070787,133.29535402358505,240,0.589404668306359,1.0978310989836852
crossing,gnn,20,11,1,0,15,1,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337,1.4437220350373536
crossing,attention,20,11,1,0,14,1,564,33,1,0.05743257770517218,204.2729487002177,240,0.4671793330660335,1.8918785150162876
crossing,transformer,20,11,1,0,26,1,469,35,1,0.03336364403134124,262.64314772511784,240,0.40421288883675005,1.9934481475502253
crossing,mlp,20,12,1,0,26,1,848,29,1,0.1264162813707114,150.47294738981657,240,0.6312317127996866,1.1066198310193915
crossing,gnn,20,12,0,0,23,1,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681,1.4541948000745226
crossing,attention,20,12,0,0,29,1,640,35,1,0.06964190680173749,191.8686762551893,240,0.9141967540038148,1.8980718120777358
crossing,transformer,20,12,0,0,24,1,493,34,1,0.11776294268718236,206.81946194662063,240,1.1577320841802228,1.9515728422751029
crossing,mlp,20,13,1,0,22,1,782,27,1,0.08349604434660726,140.7888242520736,240,0.5256774309846084,1.0934378990593057
crossing,gnn,20,13,1,0,19,1,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985,1.4406088487400364
crossing,attention,20,13,1,0,21,1,748,23,1,0.09878314856760151,207.17475519021517,240,0.5037594182443547,1.9078918577482302
crossing,transformer,20,13,0,0,26,1,582,35,1,0.05920425901530299,217.99771565221974,240,0.7997880094680135,1.965413011688118
crossing,mlp,20,14,1,0,24,1,876,33,1,0.0074238328302308,141.78592413645373,240,0.4693802409603632,1.1002726173804451
crossing,gnn,20,14,1,0,18,1,451,23,1,0.023192741874202016,224.6653275247778,240,0.4003999816075049,1.4577050887358685
crossing,attention,20,14,0,0,21,1,581,26,1,0.051457356389297,172.53293538478061,240,0.8433937882141098,1.9006178306881338
crossing,transformer,20,14,0,0,25,1,532,28,1,0.017275395080341104,193.63386185586015,240,0.7558975761329,1.9660371782568593
crossing,mlp,20,15,1,0,17,1,628,24,1,0.0436433278643247,141.29912563462977,240,0.6253113843098592,1.0909856976165127
crossing,gnn,20,15,1,0,17,1,321,30,1,0.01764482995299798,249.2537028833371,240,0.40041598630719155,1.4404584983518969
crossing,attention,20,15,0,0,24,1,557,37,1,0.02485446737820958,230.43430118693172,240,0.8325607334154557,1.9027877773623914
crossing,transformer,20,15,1,0,16,1,323,28,1,0.03740789760299542,261.9403804189533,240,0.44162103279022585,1.9989870740876843
