layout,method,robots,seed,success,strict_success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,orca,5,10,1,0,3,1,1,0.7042649030379938,83.198581910471,240,0.11708993113621954,0.2916513748156528
crossing,rvo,5,10,1,0,14,2,1,0.06532137674859803,30.267997846457156,82,0.07979768515983957,8.712212322279811
crossing,astar,5,10,1,0,6,1,1,0.07819731434808391,35.3919988255199,79,0.12523882769511469,1.689314771490761
crossing,mlp,5,10,1,0,22,2,1,0.30381730466283274,44.26703721338616,240,0.45681054948102073,0.6849770084954798
crossing,gnn,5,10,0,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156,0.85134034549507
crossing,attention,5,10,1,0,7,1,1,0.19210776301054633,36.89286341144092,240,0.44429549849839,1.7045753193087876
crossing,transformer,5,10,1,1,0,0,0,0.7259126375017454,41.29099074257338,240,0.4762182012641393,1.3241347992637504
crossing,orca,5,11,1,0,17,2,1,0.4801185479887942,30.21400119594552,93,0.1284158058756153,0.2949255248231272
crossing,rvo,5,11,1,0,12,2,1,0.153165960422175,24.86399821487895,69,0.1218456439212064,8.71214541890051
crossing,astar,5,11,1,0,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841,0.43554112747095636
crossing,mlp,5,11,0,0,18,2,1,0.17999944926900388,27.28154118638566,240,0.8187695018659008,0.4319305007811636
crossing,gnn,5,11,0,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802,0.7984590464426825
crossing,attention,5,11,1,0,6,1,1,0.3435100696318001,31.09934229222557,240,0.43515670092890735,1.210741347555692
crossing,transformer,5,11,1,0,13,2,1,0.13038450369074753,52.76406235690265,240,0.48801669732667763,1.2753442201452951
crossing,orca,5,12,1,0,11,1,1,0.49038817568903037,34.31893820906171,109,0.15803450675874645,0.30435258180859986
crossing,rvo,5,12,1,0,4,1,1,0.5738771371173422,30.855997618927887,80,0.1402719456731943,8.734025730518624
crossing,astar,5,12,1,0,13,2,1,0.16500141981799016,36.73599866977638,82,0.11466536103320339,1.7873451636150115
crossing,mlp,5,12,1,0,18,2,1,0.29818539336263084,33.040163311751044,240,0.49944284092330726,0.418625744835784
crossing,gnn,5,12,0,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252,0.7608058571349829
crossing,attention,5,12,0,0,0,0,0,1.0043197160083208,44.52675540916194,240,0.8686781303252671,1.2051875023947407
crossing,transformer,5,12,1,0,9,1,1,0.0964640219596319,49.95479409875944,240,0.5922716976682978,1.2681151274591684
crossing,orca,5,13,0,0,8,1,1,0.5394978597068073,75.52585270527085,240,1.1801908503037781,0.29305518061543506
crossing,rvo,5,13,1,0,10,2,1,0.3432669712136453,37.71599843511627,95,0.08627898220575628,8.723170682787895
crossing,astar,5,13,1,0,12,2,1,0.06870826541325886,40.76799842539865,91,0.12862240762085841,0.3926326868707662
crossing,mlp,5,13,0,0,29,2,1,0.07886706833374989,34.341614427147825,240,0.678655321101177,0.42040293337777257
crossing,gnn,5,13,0,0,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811,0.7637763628736138
crossing,attention,5,13,0,0,0,0,0,0.7652174503762668,32.16098205078325,240,2.91228557174204,1.208767929347232
crossing,transformer,5,13,1,1,0,0,0,1.8571783695099657,46.95460903649875,240,0.6279356054596045,1.2475566084807117
crossing,orca,5,14,0,0,0,0,0,1.0361917922629575,60.80757995597638,240,1.1357521184515713,0.29256134876050055
crossing,rvo,5,14,1,0,11,2,1,0.20860983978264888,35.67199858568587,91,0.08596090921902663,8.704297541343903
crossing,astar,5,14,1,0,12,2,1,0.04286790083181922,39.42399869892064,88,0.10157248889305473,0.4543382462791421
crossing,mlp,5,14,0,0,25,2,1,0.30760456707579137,30.977075358479446,240,0.7190151642874867,0.4219945966421316
crossing,gnn,5,14,0,0,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337,0.7642817819335809
crossing,attention,5,14,0,0,0,0,0,0.9468303494831165,29.026452681242546,240,3.1838349884437473,1.245156186632812
crossing,transformer,5,14,0,0,4,1,1,0.6743352378415034,43.89297525045719,240,0.772678796367422,1.3182492868509144
crossing,orca,5,15,1,0,29,1,1,0.0660112076609494,33.9859869863375,110,0.1031076598331591,0.32822806388139725
crossing,rvo,5,15,1,0,11,2,1,0.3659114170511059,26.711998187672457,80,0.06782583937369455,8.81881442037411
crossing,astar,5,15,1,0,10,2,1,0.2899068108950289,32.70399911830748,73,0.11148290287961511,2.0671489533700353
crossing,mlp,5,15,0,0,22,2,1,0.10950091281008187,41.59938122601446,240,0.6560998015502206,0.4164880975925674
crossing,gnn,5,15,0,0,7,1,1,0.19266690506451892,42.03188198494142,240,0.7445685095617016,0.7942185116310915
crossing,attention,5,15,1,0,5,2,1,0.66222794382559,35.300394862528805,240,0.6054856812894525,1.1977210427479197
crossing,transformer,5,15,1,0,6,1,1,0.39451118486633346,28.94957615125768,240,0.39504938136861656,1.2568009241173665
crossing,orca,5,16,1,0,28,2,1,0.23151705607709144,38.53513620384769,95,0.10845186119693848,0.29063932597637177
crossing,rvo,5,16,1,0,9,2,1,0.3655358400026137,23.63199814281623,73,0.05716065518079387,8.65994360655138
crossing,astar,5,16,1,0,12,2,1,0.3060810135313153,29.119999054341957,65,0.10473311873089945,2.0814778139958015
crossing,mlp,5,16,1,0,18,2,1,0.4617931955251237,39.41860973168666,240,0.39990191052679697,0.4297056293580681
crossing,gnn,5,16,1,0,21,2,1,0.05268537332101382,30.18960201201857,240,0.6069692241424527,0.7524615968577564
crossing,attention,5,16,1,0,5,1,1,0.3741568641776568,29.888217274920713,240,0.6223501767924847,1.1816498707048595
crossing,transformer,5,16,1,0,17,2,1,0.07467011557615387,41.72741275829086,240,0.4079041031922979,1.2550958606880158
crossing,orca,5,17,0,0,0,0,0,0.8431474515322034,54.86201255496278,240,1.1439988261575413,0.2924977239066114
crossing,rvo,5,17,1,0,12,2,1,0.11068530500682258,35.11199864295241,88,0.07223900733693762,8.756871007128872
crossing,astar,5,17,1,0,11,2,1,0.08364249075266181,38.5279989162086,86,0.09657756054171887,0.35860043473888276
crossing,mlp,5,17,0,0,39,2,1,0.03725679006992608,29.243388316542532,240,1.027098043485203,0.4192967569300284
crossing,gnn,5,17,0,0,20,2,1,0.03690585141702652,40.28415818833862,240,0.8905437935916947,0.7495284778997302
crossing,attention,5,17,0,0,0,0,0,1.0558366551065528,27.502482213719723,240,3.2289625000646858,1.1954649778393407
crossing,transformer,5,17,1,1,0,0,0,1.2972021446066873,42.83389562346567,240,0.6232966030551567,1.2312421381163101
crossing,orca,5,18,1,0,25,2,1,0.3548153753854916,40.3192746893459,114,0.14048582452588732,0.2936186277095163
crossing,rvo,5,18,1,0,12,2,1,0.13411482126091204,34.60799818258113,85,0.12484902659645476,8.639716493951923
crossing,astar,5,18,1,0,5,1,1,0.4024769601580217,38.52799819848203,86,0.13699091262759572,0.4786359373653351
crossing,mlp,5,18,1,0,19,2,1,0.011861181424672728,32.785557130965216,240,0.5518571499708065,0.4176488301406304
crossing,gnn,5,18,1,0,7,1,1,0.31158113058263154,39.18698793316121,240,0.6433491104754326,0.7474291390584161
crossing,attention,5,18,0,0,0,0,0,1.0882422182916676,46.05156946132142,240,0.745239026862006,1.1571617214940488
crossing,transformer,5,18,1,0,15,2,1,0.1131291629861637,47.165060915936316,240,0.47974187403936447,1.2277453827361267
crossing,orca,5,19,1,0,18,2,1,0.46504411863653616,40.46381064683309,112,0.11989394944839885,0.2915369363368622
crossing,rvo,5,19,1,0,8,2,1,0.43173382660029314,30.743997647837354,84,0.12998412748644056,8.686143206432462
crossing,astar,5,19,1,0,11,2,1,0.36651691786140167,38.975998662725495,87,0.13035677854973074,0.5583394072607331
crossing,mlp,5,19,1,0,20,2,1,0.2349868804655133,30.831452193743957,240,0.433894269810169,0.4154879890847951
crossing,gnn,5,19,0,0,8,1,1,0.3276341314265508,36.59171242245946,240,0.7665289957194797,0.7412890651418517
crossing,attention,5,19,0,0,5,1,1,0.6255084643096646,48.36141771115125,240,1.2495821095834359,1.1736552405636758
crossing,transformer,5,19,0,0,8,1,1,0.06746127385989427,45.641068164925244,240,0.6969555967528762,1.2502952343008171
crossing,orca,10,10,1,0,24,4,1,0.39957295353796235,169.21241960361212,240,0.12664849375971143,0.6344529916532338
crossing,rvo,10,10,1,0,24,5,1,0.19236279812584373,58.88399613989571,83,0.0711747792945814,27.211997624352037
crossing,astar,10,10,1,0,36,5,1,0.010216054115451637,90.71999550289624,81,0.08389117033458879,3.509324503901564
crossing,mlp,10,10,1,0,102,5,1,0.01869637765511951,72.83973802654353,240,0.4808014586872593,0.6520391073233137
crossing,gnn,10,10,1,0,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568,0.9667850895008693
crossing,attention,10,10,1,0,15,2,1,0.18111130776360898,102.17370747251806,240,0.5927639482286157,1.395062976128732
crossing,transformer,10,10,1,0,25,3,1,0.0763888129455995,125.22274558319604,240,0.44187781616470606,1.458570904408892
crossing,orca,10,11,1,0,54,4,1,0.11957424256711578,100.17437030067127,131,0.08329048624705045,0.6369794861107837
crossing,rvo,10,11,1,0,34,5,1,0.06742056923978221,56.44799605931607,85,0.04125021212457672,26.876332035616915
crossing,astar,10,11,1,0,25,4,1,0.038942944387287036,88.47999764094094,79,0.08624930590780219,2.221562033165482
crossing,mlp,10,11,1,0,80,4,1,0.02709052657523418,58.367198607345806,240,0.649229350560639,0.6405936379451305
crossing,gnn,10,11,1,0,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734,0.9741912285486857
crossing,attention,10,11,1,0,118,4,1,0.028221108277089756,91.691329267169,240,0.5008542049625866,1.398559141671285
crossing,transformer,10,11,1,0,28,3,1,0.0828628140922984,132.33021304421075,240,0.4242682623853356,1.4773971653388192
crossing,orca,10,12,1,0,19,3,1,0.46812784429791254,154.76269679215775,240,0.6173214827519589,0.6381243176292628
crossing,rvo,10,12,1,0,32,5,1,0.03331641513309335,75.87999562568093,102,0.06654241662844637,27.03899761899283
crossing,astar,10,12,1,0,32,5,1,0.040011681453832625,104.15999658195305,93,0.11084229029266879,2.9333771797277595
crossing,mlp,10,12,1,0,75,5,1,0.06023741650524924,76.37652228560339,240,0.6057234282070025,0.6475161023748418
crossing,gnn,10,12,1,0,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166,1.0090075452656795
crossing,attention,10,12,0,0,42,5,1,0.23235014062361176,77.7283630292988,240,1.2344582913907995,1.4248385016495984
crossing,transformer,10,12,1,0,12,2,1,0.37019911920052445,116.36447444516229,240,0.4470054671651118,1.4930658585702379
crossing,orca,10,13,1,0,37,4,1,0.32293552585862095,177.31297042824514,240,0.2365030796885199,0.6399281206540763
crossing,rvo,10,13,1,0,22,4,1,0.2281056422854049,76.49599624051525,114,0.049057233832260835,26.927885403366464
crossing,astar,10,13,1,0,19,3,1,0.05527623077714075,105.27999623133493,94,0.08233868017699544,3.116456861112346
crossing,mlp,10,13,1,0,70,5,1,0.05791323939341617,78.88093919121631,240,0.4048898221726147,0.6430483888834715
crossing,gnn,10,13,1,0,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794,0.9790031763259321
crossing,attention,10,13,1,0,18,3,1,0.44765858767506456,86.1558401922568,240,0.6329184030031155,1.4100183616392314
crossing,transformer,10,13,1,0,42,3,1,0.044534627039779257,107.21327586014583,240,0.41236188458260925,1.4793095896796633
crossing,orca,10,14,0,0,8,1,1,0.5904084963373848,137.66235342434854,240,0.674872366961383,0.6416473421268165
crossing,rvo,10,14,1,0,32,5,1,0.13632361871307672,72.74399629508736,99,0.05060418674212808,26.88152218388036
crossing,astar,10,14,1,0,31,5,1,0.003554139445713721,100.7999964009299,90,0.08667504561404626,1.9974443440635998
crossing,mlp,10,14,0,0,204,7,1,0.02891520326465536,68.10395812594182,240,0.824762977348097,0.6484322172279159
crossing,gnn,10,14,1,0,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908,0.9890007243181268
crossing,attention,10,14,0,0,32,3,1,0.08007565990910341,88.29642657519032,240,0.7669252063723817,1.4141140505671501
crossing,transformer,10,14,0,0,42,4,1,0.2458732314119892,99.08545192318765,240,0.7708855025494274,1.5016990597359836
crossing,orca,10,15,1,0,54,5,1,0.15528604731561618,111.64867745184377,145,0.08512746142458237,0.6338060608711736
crossing,rvo,10,15,1,0,30,5,1,0.17411765568086618,64.31599570569004,94,0.03651282564885193,26.872412479938344
crossing,astar,10,15,1,0,28,5,1,0.07961921625115843,97.43999698129737,87,0.07313047390510148,3.637460820462512
crossing,mlp,10,15,1,0,86,4,1,0.05386478608090819,69.04828879349061,240,0.6031933266160598,0.6473012423763672
crossing,gnn,10,15,1,0,54,5,1,0.09808526817662182,130.33594661525433,240,0.3211688458179887,0.9752909400655577
crossing,attention,10,15,1,0,24,3,1,0.20513315352560643,125.56672011238872,240,0.5429656695177772,1.462352592110013
crossing,transformer,10,15,1,0,42,5,1,0.06159334304569881,128.03490354089539,240,0.4873542895766059,1.4927906721519928
crossing,orca,10,16,1,0,67,4,1,0.11627508016422218,173.65037998895914,227,0.09358471238918524,0.6338398460512119
crossing,rvo,10,16,1,0,24,4,1,0.1313977494924872,49.72799714715833,83,0.03857917051619217,26.760321048772838
crossing,astar,10,16,1,0,30,5,1,0.08861655660377352,72.79999773780467,65,0.1020273316936845,3.9950133158037295
crossing,mlp,10,16,1,0,89,5,1,0.073992399605668,59.15340488457892,240,0.5031923078259342,0.6460111200188597
crossing,gnn,10,16,1,0,78,5,1,0.03217050254740779,143.95826466138476,240,0.5093028955176444,0.9685549710411578
crossing,attention,10,16,1,0,55,4,1,0.08228531845462086,100.78345482368712,240,0.585933456054074,1.4311602494368951
crossing,transformer,10,16,1,0,62,4,1,0.0333355602814631,111.49446665159888,240,0.42616395345487457,1.4820861785362165
crossing,orca,10,17,1,0,43,4,1,0.32922494451885836,156.4410994269414,240,0.5809543315448854,0.6405984633602202
crossing,rvo,10,17,1,0,33,5,1,0.07479914849229861,70.08399594467758,94,0.04552462445396601,26.950490537119357
crossing,astar,10,17,1,0,33,5,1,0.03879284974588699,97.4399966953302,87,0.119982335730398,2.925088286571119
crossing,mlp,10,17,1,0,93,7,1,0.035571314820720026,71.923198872218,240,0.46622956517990594,0.6496802612673491
crossing,gnn,10,17,1,0,62,5,1,0.03109435040880711,121.54414445077329,240,0.36200797627803655,0.983860136087363
crossing,attention,10,17,1,0,46,5,1,0.1466933671375485,97.85281211174545,240,0.5596687895135061,1.4279971791741748
crossing,transformer,10,17,1,0,108,9,1,0.05149889231759085,116.63280315718313,240,0.35809922528056665,1.490764234525462
crossing,orca,10,18,1,0,13,2,1,0.5784397751964621,133.19023282951926,179,0.07051682570416515,0.6438212901062472
crossing,rvo,10,18,1,0,19,3,1,0.13388349236128316,67.87199540216014,93,0.05795398407859753,27.020281135675408
crossing,astar,10,18,1,0,27,5,1,0.06231611746435921,97.43999700464349,87,0.0948085546234958,3.3129126358049352
crossing,mlp,10,18,1,0,96,5,1,0.1363858812616649,65.39967876599398,240,0.6061029019704771,0.6507036062733581
crossing,gnn,10,18,1,0,32,4,1,0.04677619275511236,128.93599869937745,240,0.419896305430531,0.9802031874035796
crossing,attention,10,18,1,0,26,3,1,0.045219732072851265,95.49812543845336,240,0.596857493851374,1.4198439137544483
crossing,transformer,10,18,1,0,56,5,1,0.060236728069914945,93.49209249768637,240,0.5024675674079271,1.4858547016046941
crossing,orca,10,19,1,0,28,4,1,0.5219926073456289,98.40422958188951,136,0.09659267090489822,0.6484697086681777
crossing,rvo,10,19,1,0,34,5,1,0.018326492819142646,61.71199556165691,94,0.0343227312456813,27.413567087236554
crossing,astar,10,19,1,0,21,3,1,0.03712808407389047,96.31999552965515,86,0.07621738615062192,0.9169185826511577
crossing,mlp,10,19,1,0,112,5,1,0.10354412166756348,59.520741149782204,240,0.6399717361175218,0.6649091800985237
crossing,gnn,10,19,1,0,53,5,1,0.20751710008429422,123.46366073598848,240,0.4504900111865216,0.9832717420067638
crossing,attention,10,19,1,0,34,3,1,0.3340921066235392,93.51350193420971,240,0.5031900007939313,1.4040190066831808
crossing,transformer,10,19,1,0,41,4,1,0.09939670530742684,126.11561122698583,240,0.4264685072147526,1.4887337301236887
crossing,orca,20,10,1,0,146,15,1,0.2732303921931682,366.5251174529309,240,0.07399068493627324,1.6275706448747467
crossing,rvo,20,10,1,0,138,23,1,0.05137930802048729,113.79199151315304,80,0.0497810123038621,91.9159435259644
crossing,astar,20,10,1,0,142,21,1,0.054963885481607515,194.879993121567,87,0.07909428018221712,6.520818485396689
crossing,mlp,20,10,1,0,933,25,1,0.03726734833862513,130.248832544298,240,0.5838951315354802,1.1126247971939545
crossing,gnn,20,10,1,0,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714,1.4392913377378136
crossing,attention,20,10,1,0,524,27,1,0.053606470992410664,229.0700126923623,240,0.45650102149055555,1.8857101657583069
crossing,transformer,20,10,1,0,300,25,1,0.03267670225019394,240.86882398593454,240,0.40212862079503287,1.9449011228668194
crossing,orca,20,11,1,0,100,13,1,0.21584961479405335,244.83478553914244,156,0.06273923626955548,1.6213917048074877
crossing,rvo,20,11,1,0,142,23,1,0.07121098872838405,117.06799333233909,90,0.02830455743581614,91.90737565255
crossing,astar,20,11,1,0,155,20,1,0.01327117695361482,181.43999498568084,81,0.10002419808584764,5.531042279606616
crossing,mlp,20,11,1,0,479,18,1,0.017614389147070787,133.29535402358505,240,0.589404668306359,1.1028368840925395
