method,robots,seed,success,collisions,min_separation,path_length,steps,final_error
orca,5,10,1,3,0.7042649030379938,83.198581910471,240,0.11708993113621954
astar,5,10,1,6,0.07819731434808391,35.3919988255199,79,0.12523882769511469
gnn,5,10,0,13,0.5574411141765627,36.196800686487386,240,0.9949889035209336
orca,5,11,1,17,0.4801185479887942,30.21400119594552,93,0.1284158058756153
astar,5,11,1,6,0.37853202572357936,30.91199880816976,69,0.11806432813721841
gnn,5,11,0,16,0.11783769540775692,45.19847487756918,240,1.5004859515263758
orca,5,12,1,11,0.49038817568903037,34.31893820906171,109,0.15803450675874645
astar,5,12,1,13,0.16500141981799016,36.73599866977638,82,0.11466536103320339
gnn,5,12,0,35,0.3893647595845273,39.555860839740454,240,1.3237191448489534
orca,10,10,1,24,0.39957295353796235,169.21241960361212,240,0.12664849375971143
astar,10,10,1,36,0.010216054115451637,90.71999550289624,81,0.08389117033458879
gnn,10,10,0,162,0.06507707043380428,71.94891852212324,240,0.6710738893501134
orca,10,11,1,54,0.11957424256711578,100.17437030067127,131,0.08329048624705045
astar,10,11,1,25,0.038942944387287036,88.47999764094094,79,0.08624930590780219
gnn,10,11,0,160,0.048627471045576076,94.03495988271618,240,0.9323713911722565
orca,10,12,1,19,0.46812784429791254,154.76269679215775,240,0.6173214827519589
astar,10,12,1,32,0.040011681453832625,104.15999658195305,93,0.11084229029266879
gnn,10,12,0,133,0.1409158633746791,105.38019156692876,240,0.845514574228228
orca,20,10,1,146,0.2732303921931682,366.5251174529309,240,0.07399068493627324
astar,20,10,1,142,0.054963885481607515,194.879993121567,87,0.07909428018221712
gnn,20,10,1,1023,0.060364807606252624,152.5659599957489,240,0.5962194180935689
orca,20,11,1,100,0.21584961479405335,244.83478553914244,156,0.06273923626955548
astar,20,11,1,155,0.01327117695361482,181.43999498568084,81,0.10002419808584764
gnn,20,11,0,781,0.1149589670903599,152.07302000312475,240,0.7684633310387647
orca,20,12,0,115,0.15179042056037564,315.5933814406075,240,0.6978833439677425
astar,20,12,1,362,0.02242180705071617,219.519993188026,98,0.07966986263329887
gnn,20,12,0,781,0.05288931420586488,132.59508466188996,240,1.440885822672061
