layout,robots,scenario_seed,checkpoint,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
crossing,5,10,checkpoints_seed1,0,1,1,0.5552650459950222,32.65529964734551,0.694228164950164,1.201589413297673
crossing,5,10,checkpoints_seed2,0,2,1,0.14085235028778634,40.612073140102055,0.7150725976602926,0.761793712930133
crossing,5,10,checkpoints_seed3,1,1,1,0.021131208884488994,40.23825338936743,0.4327896400896304,0.7662753846185902
crossing,5,11,checkpoints_seed1,0,2,1,0.05743206162898792,25.60248430013205,0.7732080068533483,0.7581783458590508
crossing,5,11,checkpoints_seed2,1,2,1,0.14764403668289863,44.84018553157976,0.6436809950698121,0.77028171508573
crossing,5,11,checkpoints_seed3,1,2,1,0.10933136331226719,43.89946787010799,0.49657738799244616,0.7744310365524143
crossing,5,12,checkpoints_seed1,0,2,1,0.039269969109058354,35.115874566539205,0.9616285009279564,0.7577735581435263
crossing,5,12,checkpoints_seed2,1,2,1,0.013958417830474707,39.67090960342252,0.5478332603776714,0.7681119178111354
crossing,5,12,checkpoints_seed3,0,2,1,0.06402714871022934,44.91404292208323,0.8483192878814141,0.7745141415701559
crossing,5,13,checkpoints_seed1,0,1,1,0.5700865505125822,38.547058273610084,0.7288935682909106,0.7729374202123532
crossing,5,13,checkpoints_seed2,1,2,1,0.05156873470517545,40.55090760274208,0.5901748643206762,0.7658802651955435
crossing,5,13,checkpoints_seed3,1,1,1,0.6708799986031725,41.88424112696169,0.621885748086817,0.7606678836358091
crossing,5,14,checkpoints_seed1,0,1,1,0.6080692037911574,35.34781622093728,0.9855821300982818,0.7592137689546993
crossing,5,14,checkpoints_seed2,1,2,1,0.07170060335262443,37.62964347621924,0.5675056000459919,0.762723267932112
crossing,5,14,checkpoints_seed3,0,1,1,0.568652634578791,42.767947746258386,0.7519657680454032,0.7999914737107853
crossing,5,15,checkpoints_seed1,0,1,1,0.49823624220416773,41.84252033316987,0.6986231168899505,0.7782844787773987
crossing,5,15,checkpoints_seed2,1,1,1,0.03207466850111168,44.74389404266048,0.4891331707056829,0.7592660627172639
crossing,5,15,checkpoints_seed3,1,2,1,0.06114244579148262,44.84777167609207,0.44827142908401996,0.7664581915984551
crossing,5,16,checkpoints_seed1,0,2,1,0.5693523670987602,25.5622705650375,0.688985040422266,0.7686298224143684
crossing,5,16,checkpoints_seed2,1,2,1,0.1384556137866924,46.43494317932873,0.6271915566840167,0.789324655973663
crossing,5,16,checkpoints_seed3,1,1,1,0.2751590013027887,40.012229414780606,0.391642426048071,0.7891475572250783
crossing,5,17,checkpoints_seed1,0,1,1,0.6700406323606303,34.725839554839624,1.020112175324383,0.7516447978559881
crossing,5,17,checkpoints_seed2,1,2,1,0.04247935462594977,38.987050495724766,0.6176258925390106,0.7478818666034689
crossing,5,17,checkpoints_seed3,0,1,1,0.5951098129159098,41.72136179137911,0.9763423123000632,0.760656026735281
crossing,5,18,checkpoints_seed1,0,1,1,0.15684826376061875,39.832050674190924,0.6970763485696804,0.7484712948401769
crossing,5,18,checkpoints_seed2,1,2,1,0.317109550140517,37.563764569017835,0.5670919338901206,0.7499099495665481
crossing,5,18,checkpoints_seed3,1,2,1,0.2965293301216467,50.46712469882266,0.6472116404200935,0.764944584807381
crossing,5,19,checkpoints_seed1,0,1,1,0.10967911379787247,38.45376380572577,0.8247897416752217,0.750499862867097
crossing,5,19,checkpoints_seed2,1,2,1,0.3881487715285325,36.1599388384375,0.5515535034543781,0.7536522500837842
crossing,5,19,checkpoints_seed3,0,2,1,0.4187717990470841,44.412132825396704,0.7444263925956749,0.7749167911242694
crossing,10,10,checkpoints_seed1,1,4,1,0.06467659073188076,106.88051788924346,0.37150349046713194,0.9916158994504561
crossing,10,10,checkpoints_seed2,1,5,1,0.05395602112871941,113.39502512764503,0.40488581216863484,0.9918804629705846
crossing,10,10,checkpoints_seed3,1,4,1,0.14080134910243164,129.7170494398185,0.31668427267055616,0.9937665599863976
crossing,10,11,checkpoints_seed1,1,5,1,0.09613757372213468,128.47596565435137,0.37737109504180044,0.9895340287281821
crossing,10,11,checkpoints_seed2,1,5,1,0.06390271102194126,135.43443200428456,0.38534949677792785,1.0052048659417778
crossing,10,11,checkpoints_seed3,1,5,1,0.04667015023629223,86.9263415621772,0.20384603711681049,1.0071056528295588
crossing,10,12,checkpoints_seed1,1,4,1,0.11452179000475092,120.0300308697417,0.5025779561354519,0.9912115114275366
crossing,10,12,checkpoints_seed2,1,4,1,0.060943486575594355,134.24013895339908,0.36794635157635547,1.0244069853797555
crossing,10,12,checkpoints_seed3,1,4,1,0.023574433115358055,154.73281151451306,0.29654511237943515,1.0154818941373378
crossing,10,13,checkpoints_seed1,1,3,1,0.04605566326893118,95.44032294174498,0.5103799954802628,1.023915260642146
crossing,10,13,checkpoints_seed2,1,4,1,0.07018647094727438,127.0759508781802,0.3410058725163091,0.999268633313477
crossing,10,13,checkpoints_seed3,0,4,1,0.04729047337341017,109.64825448873131,0.7968768917957373,1.005917409202084
crossing,10,14,checkpoints_seed1,0,5,1,0.1095084083456126,58.489188134645794,1.6332537582312479,0.9992131206672639
crossing,10,14,checkpoints_seed2,1,5,1,0.16248127546826932,121.32798183152852,0.410200516640027,0.9984602647212645
crossing,10,14,checkpoints_seed3,0,4,1,0.05163933234856278,98.34026514956322,0.8422647410115086,1.0180217815407862
crossing,10,15,checkpoints_seed1,1,5,1,0.05344245387317012,126.06815562872359,0.3578878616012166,1.0016486999423553
crossing,10,15,checkpoints_seed2,1,5,1,0.11565401484987087,151.06821794937818,0.24565483830042406,1.0066701739560813
crossing,10,15,checkpoints_seed3,1,4,1,0.032892211012998905,156.0288885287353,0.28893113200153975,0.9901679314983388
crossing,10,16,checkpoints_seed1,0,4,1,0.07942081576751595,112.71022686804642,1.356208818177206,1.0018455097451806
crossing,10,16,checkpoints_seed2,1,5,1,0.0801034543077474,152.22647486088064,0.24183228028887313,1.0120840296925355
crossing,10,16,checkpoints_seed3,1,4,1,0.06940192744934262,155.24870914482517,0.3804232278171965,1.0101810990211864
crossing,10,17,checkpoints_seed1,1,4,1,0.10927274039393119,89.34156574320367,0.4543724289859522,1.002939084234337
crossing,10,17,checkpoints_seed2,1,4,1,0.06598627830382105,123.24993483040119,0.3457946544919316,0.9898679098114371
crossing,10,17,checkpoints_seed3,0,5,1,0.027390682218808096,99.67301997066302,0.7581603273721165,1.0033974210576464
crossing,10,18,checkpoints_seed1,1,3,1,0.13354759145497838,102.08164630341267,0.30818537516215927,0.9925313565569619
crossing,10,18,checkpoints_seed2,1,4,1,0.035044130301920565,125.16835388582032,0.2884471524578642,0.9960123609441022
crossing,10,18,checkpoints_seed3,1,5,1,0.09657587425324034,125.56852538808069,0.24254489314652888,0.9927726893996199
crossing,10,19,checkpoints_seed1,1,4,1,0.04368994015757334,101.54201444800235,0.4322087567598067,0.9983792396572729
crossing,10,19,checkpoints_seed2,1,5,1,0.16821595102663606,124.18171800842228,0.4165079233479575,0.9970253449864686
crossing,10,19,checkpoints_seed3,1,5,1,0.24012557047223934,122.14433920138822,0.4685129055341249,1.0036335986418028
crossing,20,10,checkpoints_seed1,1,23,1,0.019397327078233394,201.75086613324768,0.4022682624935867,1.5162947005592287
crossing,20,10,checkpoints_seed2,1,26,1,0.033022499514700446,254.1830267046405,0.3673068844249546,1.478235990119477
crossing,20,10,checkpoints_seed3,1,23,1,0.025355032357564856,243.620104790474,0.31664322477814794,1.4896738478758682
crossing,20,11,checkpoints_seed1,1,25,1,0.07313926541450697,235.1105842192744,0.36924651784995755,1.4936792120958369
crossing,20,11,checkpoints_seed2,1,25,1,0.015821412370636258,290.1640503968728,0.26784139702709153,1.4799556442691635
crossing,20,11,checkpoints_seed3,1,27,1,0.047388088702490117,279.95547141086416,0.2518117363883899,1.4774047633788239
crossing,20,12,checkpoints_seed1,1,25,1,0.04654490254458029,213.13399800958257,0.41785389697241976,1.4836772267396252
crossing,20,12,checkpoints_seed2,1,26,1,0.014734607811742108,260.0017281433399,0.32682679594924674,1.484339915138359
crossing,20,12,checkpoints_seed3,1,36,1,0.03704655319801997,252.49939803937093,0.34210353929576676,1.4921356186581154
crossing,20,13,checkpoints_seed1,1,24,1,0.16638429280297123,186.49723493045536,0.44936451852486103,1.4817574721140165
crossing,20,13,checkpoints_seed2,1,25,1,0.06798367125701106,240.05641716047867,0.4426383225110012,1.4710265929655482
crossing,20,13,checkpoints_seed3,1,26,1,0.020756722497820967,220.8266133975456,0.3126797788452107,1.4776313037145883
crossing,20,14,checkpoints_seed1,1,33,1,0.07159914085260868,176.25350205873755,0.38654555594757894,1.4715446469684441
