layout,robots,success_mean,success_std,collision_events_mean,collision_events_std,collision_episode_mean,collision_episode_std,min_separation_mean,min_separation_std,path_length_mean,path_length_std,final_error_mean,final_error_std,control_time_ms_mean,control_time_ms_std
crossing,5,0.5,0.45825756949558405,1.5666666666666667,0.3055050463303892,1.0,0.0,0.2753002098322827,0.12770823328359135,39.668095396067095,4.467719930516674,0.6783140733764483,0.11388655675370474,0.7802683832899978,0.021796986189891555
crossing,10,0.8333333333333334,0.1527525231651947,4.366666666666666,0.2516611478423584,1.0,0.0,0.08343697884116523,0.005191618523113917,119.54853557331838,13.815747271941552,0.47821213251513645,0.14373473855409494,1.0018053593361314,0.002393176150617815
crossing,20,0.9666666666666667,0.05773502691896256,26.233333333333334,0.808290376865475,1.0,0.0,0.044434564000053495,0.013478123331089338,237.21320864257476,27.821289221903605,0.36025081669274805,0.031183470744396466,1.4870782317464342,0.008045885444563774
narrow,5,0.43333333333333335,0.4163331998932266,1.3666666666666665,0.2516611478423583,0.9,0.09999999999999998,0.41132755648596325,0.1548238870618789,44.141823496875865,5.6729889350430325,0.8348405663217879,0.2431459384496361,0.6314613316337475,0.004518245615051483
narrow,10,0.9666666666666667,0.057735026918962595,4.033333333333333,0.15275252316519483,1.0,0.0,0.13058170831693264,0.07036986372310007,160.92325163872871,11.264169414607988,0.3856644977810639,0.16058142155505667,0.7348443797805513,0.0030755384442622273
narrow,20,1.0,0.0,28.7,3.439476704383968,1.0,0.0,0.03945916121472293,0.007147278469645037,310.7883636608701,16.605048810297596,0.3623449624667858,0.11583577982068577,0.9534995255914206,0.0011532395468061127
open,5,0.3333333333333333,0.5773502691896258,1.8,0.17320508075688773,1.0,0.0,0.28414711822530425,0.08892963492363185,72.99371291925502,15.49189052428448,0.8631324889783095,0.5793734512847729,0.5276526270049707,0.0033827315027451033
open,10,0.3333333333333333,0.4163331998932266,6.233333333333334,2.746512940681936,1.0,0.0,0.25473544125666897,0.12575855154901616,240.3507588206148,14.64957094544246,0.7298947334890636,0.2045472300696158,0.5335275525511759,0.0027286264121176677
open,20,0.5333333333333333,0.30550504633038933,30.53333333333333,9.187128677303555,1.0,0.0,0.043621371170318085,0.00962389913157743,480.4166028661234,27.99982672446583,0.6194395383888297,0.03984707061806385,0.5510392827757945,0.002398275068933963
random,5,0.7999999999999999,0.17320508075688776,2.3000000000000003,0.264575131106459,0.9,0.0,0.2863194090918539,0.08169986550504409,57.938118611084256,9.764227353917876,0.523278814439164,0.08965680250710806,0.7672289251220515,0.0040461490203168955
random,10,0.9333333333333332,0.05773502691896258,7.1000000000000005,0.1000000000000002,1.0,0.0,0.08429396290592413,0.017852636256117816,111.07877052991955,16.51736994469396,0.4973128570224163,0.07060414845837158,0.9920848629230425,0.0011749036802707117
random,20,0.9,0.09999999999999998,29.333333333333332,1.2858201014657265,1.0,0.0,0.038551167389477066,0.005314447370016745,250.03419566987588,30.567810545415828,0.45522036541072586,0.0891052325506984,1.5002496166077133,0.007475071411865455
